OC_omid,issn,EP_id,Publications_in_venue,Open Access
6101680803,"['2507-0363', '2295-3493']",485655,27,Unknown
6101680853,['2295-5739'],444433,105,Unknown
6101705905,"['2392-1633', '2080-1807']",486151,42,True
6101705938,"['2392-1641', '2450-0097']",494074,105,True
6101705977,['2392-1943'],505358,30,Unknown
6101705983,['2392-2338'],486171,4,True
6101717166,['1759-0434'],489166,120,True
6101739531,['0137-298X'],481869,11,True
6101739559,['0137-3285'],500274,19,Unknown
6101739562,"['2353-303X', '0137-3587']",499162,4,True
6101739592,"['0137-4176', '2544-5812']",485397,62,Unknown
6101739623,"['2544-3135', '0137-4346']",496806,127,Unknown
6101739640,['0137-4729'],502084,87,Unknown
6101742545,"['2083-5205', '2084-1965']",484825,275,True
6101743278,"['2084-137X', '2353-7132']",484774,6,Unknown
6101743284,['2084-1426'],484968,29,Unknown
6101743391,"['0137-2904', '2084-2589']",478910,21,Unknown
6101743397,"['1731-7398', '2084-2627']",486193,53,Unknown
6101743419,['2084-3364'],486041,86,True
6101743460,"['2082-0984', '2084-3844']",485105,42,True
6101743500,"['1895-6297', '2084-3879']",484152,65,Unknown
6101743524,"['2084-3909', '1897-3426']",486190,46,True
6101743529,"['2084-3917', '1732-8705']",486197,58,True
6101743542,"['2084-3925', '1733-5760']",486195,15,Unknown
6101743545,"['2084-3933', '1897-3035']",486110,35,Unknown
6101743561,"['2084-3941', '1899-3028']",483874,7,Unknown
6101743563,"['1897-1962', '2084-395X']",485869,61,Unknown
6101777061,"['0209-3324', '2450-1549']",499807,234,True
6101781886,"['2047-993X', '1750-2705']",477341,181,Unknown
6101786670,"['0079-7138', '2657-4004']",481799,26,True
6101786689,['2657-4047'],498942,44,True
6101786713,"['1506-6541', '2657-4373']",496673,31,True
6101786718,"['2544-7238', '2657-4381']",497799,47,True
6101786729,"['2657-4837', '1641-3792']",486827,8,True
6101786735,"['2657-487X', '2084-8099']",491011,22,True
6101786762,"['1231-1960', '2657-506X']",482999,27,Unknown
6101786775,"['0137-1673', '2657-5213']",483950,66,Unknown
6101786796,"['0078-6500', '2657-5337']",481795,10,Unknown
6101834636,"['2518-1963', '2078-9912']",494567,150,Unknown
61018380,"['1572-8587', '0925-4560', '0044-2216']",340784,1113,Unknown
6101840926,"['1846-8551', '2507-041X']",474903,57,Unknown
6101840971,"['1846-8527', '1846-9213']",484875,53,True
6101841078,"['1847-0459', '0584-9063']",489002,43,True
61018476,"['1873-7579', '0925-5273']",441984,7439,Unknown
6101847781,"['1588-4309', '1585-079X']",483290,53,Unknown
6101847804,"['1588-2519', '1585-1923']",471871,307,Unknown
6101853399,"['2045-4147', '1029-8649']",445001,726,Unknown
6101858948,"['1504-4556', '1894-1257']",435962,214,True
6101869984,"['0213-2338', '1989-9904']",484452,186,True
6101870061,['1989-9947'],489112,375,True
6101870101,"['1989-9971', '1133-0473']",494160,126,True
610196962,"['1868-9418', '1431-5041']",483173,27,Unknown
610199104,"['1479-5760', '1046-2937']",447443,874,Unknown
61019963,"['0021-8758', '1469-5154']",442384,1519,Unknown
61019995,"['1468-5922', '0021-8774']",442388,1904,Unknown
61020044,"['1469-7580', '0021-8782']",340772,8347,Unknown
6102138250,"['2045-9815', '2045-9807']",493666,127,Unknown
6102143536,['2737-9493'],500521,6,Unknown
6102143573,"['2738-1072', '2738-1064']",504200,25,True
6102160927,"['2424-6166', '1392-1258']",498652,348,True
6102170466,['2566-4638'],498529,8,Unknown
6102170537,['2570-5857'],492981,64,Unknown
6102171770,['2013-6196'],485911,108,True
6102171827,['2013-6374'],485816,173,True
6102171883,['2013-6757'],486738,57,True
6102171932,['2013-8652'],493246,2,Unknown
6102181745,"['2520-2685', '2520-2677']",497834,77,True
6102181771,"['2520-2855', '2520-2863']",496981,57,Unknown
6102181953,"['2392-8166', '2392-8174']",488339,5,True
6102181959,['2392-8441'],490639,20,True
6102181968,"['2392-9472', '2392-862X']",489940,2,True
6102181971,"['1454-864X', '2392-8956']",494249,39,Unknown
6102182000,"['2393-1078', '2393-0624']",486075,1,True
6102182033,['2393-1353'],488760,9,True
6102183443,['2444-569X'],490508,266,True
6102189760,"['2193-0066', '2193-0074']",503935,277,True
6102190904,['1124-1004'],486034,43,Unknown
6102192395,"['1972-523X', '1127-0195']",465839,27,Unknown
6102208635,"['1581-6311', '1854-6935']",468701,34,True
6102208735,['1855-0541'],487503,69,True
6102208780,"['1855-3303', '2335-4194']",490524,45,Unknown
6102208796,"['1855-363X', '1581-5374']",475408,311,Unknown
6102211098,"['2410-9274', '2410-0706']",486261,58,Unknown
610222103,"['1469-2910', '1364-8470']",437860,624,Unknown
6102237484,"['1428-149X', '2719-3780']",475791,11,True
6102237553,['1428-9512'],488932,50,True
61501439935,['2300-7567'],488932,6,True
6102237579,['1429-0618'],483170,8,Unknown
6102253959,['2049-7547'],480650,83,Unknown
6102253989,"['2049-7555', '2049-7563']",485154,79,Unknown
6102263719,['2313-4569'],494060,90,Unknown
6102263773,['2313-4895'],491159,27,True
6102263938,['2313-5433'],485166,69,True
6102264962,"['0213-7771', '2443-9991']",485568,66,True
6102278838,"['1750-8622', '1389-224X']",447598,647,Unknown
6102281905,"['2411-3239', '2413-7588']",486918,4,Unknown
6102281922,"['2415-7198', '2411-345X']",501801,45,Unknown
6102295903,['2545-384X'],496735,67,True
6102295947,"['1429-2173', '2545-3971']",485652,56,True
6102297497,['2064-9940'],487500,62,True
6102297517,['2065-0175'],480254,1,True
6102297520,['2065-0574'],503139,95,Unknown
6102298857,"['2411-1309', '2411-7447']",497626,6,Unknown
6102305089,"['1132-2373', '2255-5463']",447915,59,Unknown
6102305166,"['1134-2277', '2255-5838']",482903,15,Unknown
6102306217,"['0582-673X', '1849-0999']",482414,5,Unknown
6102306224,"['0583-6255', '1849-1049']",484500,2,Unknown
6102306227,['1849-1111'],496593,2,Unknown
6102306230,['1849-1162'],487234,150,Unknown
6102306358,"['1849-3645', '1849-5206']",485844,3,True
6102306463,"['1849-6547', '0553-6707']",482376,4,True
6102306468,['1849-661X'],494668,3,Unknown
6102324484,"['1846-7520', '1331-8004']",474343,91,True
6102354769,['2543-6430'],499939,17,Unknown
61023558,['0047-2727'],340670,4270,Unknown
61023640,"['0048-721X', '1096-1151']",446381,1351,Unknown
6102386852,['2014-3613'],487102,46,True
6102386998,['1769-7069'],473262,40,True
6102400077,['2682-972X'],502378,31,True
610241949,"['1471-6917', '0955-2340']",443174,322,Unknown
610242064,"['0955-2359', '1477-4674']",448356,567,Unknown
6102434478,"['2228-4745', '1736-6852']",486053,11,True
6102435336,['2228-0596'],483520,142,True
6102435361,['2228-0987'],471784,112,Unknown
6102435382,"['2228-1339', '1736-8987']",485747,96,True
6102435425,"['2228-2009', '2228-2017']",484808,43,True
6102435466,"['1406-3859', '2228-3897']",483137,17,Unknown
6102435512,"['2228-4729', '1406-0701']",468461,45,True
6102469160,"['1736-5899', '2228-110X']",486054,44,True
6102477252,['1733-8069'],485251,396,True
6102489129,"['2542-5285', '2542-5277']",496472,68,Unknown
6102489186,['2543-912X'],491676,187,True
6102489215,['2544-090X'],499188,5,True
61024933,"['1467-9752', '0309-8249']",340854,1744,Unknown
61024962,"['1466-1845', '0309-8265']",442994,1603,Unknown
61025030,"['2707-0085', '1560-4926']",498425,132,Unknown
61025103,"['1469-929X', '1369-801X']",442146,1055,Unknown
61025108,"['1873-5517', '1369-8478']",447885,2505,Unknown
61025129,"['0007-6791', '1743-7938']",342362,1922,Unknown
6102562366,['2413-4139'],497191,7,Unknown
6102563834,"['1125-3789', '2385-3042']",493859,98,True
6102628882,['2049-1565'],484935,50,True
6102646741,['2059-2949'],504668,17,True
610266208,"['2042-8677', '1746-6660']",470710,402,Unknown
610278010,['0033-4987'],446258,320,Unknown
61028076,"['1461-4448', '1461-7315']",341593,2521,Unknown
6102818707,['2519-2590'],490674,15,Unknown
6102820846,['1504-9922'],471082,184,True
6102820925,['1505-2192'],476248,51,Unknown
6102857775,"['0067-270X', '1945-5534']",438317,913,Unknown
61029331,"['0013-9165', '1552-390X']",343684,1935,Unknown
610302734,"['1572-3429', '1875-8185']",476487,216,Unknown
6103043048,"['2677-4224', '1253-9708']",449281,62,Unknown
6103077261,"['0261-4448', '1475-3049']",444300,778,Unknown
610308517,"['1876-3367', '1876-3375']",475499,146,Unknown
61031030,"['2104-371X', '0752-5443']",444246,40,True
6103150439,['1425-3534'],486895,31,Unknown
6103150448,"['1613-415X', '1430-0532']",444432,439,Unknown
6103185096,"['1878-1373', '1878-1527']",480947,108,Unknown
6103196085,['1757-9597'],484563,272,Unknown
6103234231,['2173-0687'],489110,83,True
6103234257,['2173-0695'],489031,38,True
6103234284,['2173-1276'],487721,30,True
6103234296,['2173-1950'],485918,32,Unknown
6103234321,"['2173-3511', '2173-6049']",500226,70,True
61032597,"['1532-2998', '1532-3005']",415406,1240,Unknown
61032772,"['1050-3307', '1468-4381']",340319,1669,Unknown
610331497,"['2029-4921', '2029-4913']",484951,952,True
61034101,"['1469-588X', '0014-1844']",340512,1484,Unknown
61034376,['1626-0252'],473542,1042,True
6103472726,"['0264-3944', '1468-0122']",445607,918,Unknown
6103492319,['1408-8363'],493451,3,True
6103492497,"['2415-9883', '1589-3413']",485925,31,True
6103543057,"['0014-2166', '2101-0056']",444381,259,Unknown
6103544660,"['2184-0385', '0874-5560']",482587,59,True
6103573949,['0435-5865'],483995,11,Unknown
6103574023,['0439-691X'],488598,2,True
6103744705,"['1570-0593', '1567-9896']",438076,103,Unknown
6103881542,"['1820-4589', '2812-9466']",503846,10,Unknown
61038878,"['0024-2160', '1744-8581']",444403,1156,Unknown
6103894054,['2620-1755'],496401,2,True
61039583,"['1844-5292', '1018-0389']",503228,27,Unknown
6103969909,"['2537-6152', '1857-2049']",490018,1,True
6103973129,['2000-3560'],485193,16,Unknown
6103982700,"['2366-0775', '0024-3930']",340602,2,Unknown
61040148,"['2254-8769', '0210-1874']",471064,40,True
61040154,"['1335-4205', '2585-7878']",479800,1510,True
610403869,['2523-4927'],494173,8,Unknown
61041534,"['1614-7308', '0165-4004']",440706,928,Unknown
61041751,"['1187-7863', '0893-4282', '1573-322X']",442358,1060,Unknown
610429609,"['1266-0078', '2118-4518']",483022,159,Unknown
61043041,"['1846-3312', '1846-9418']",496491,47,True
61043126,"['1470-1375', '0043-8243']",448182,1757,Unknown
6104428,"['1756-3062', '1460-6925']",439837,948,Unknown
610443025,"['1745-5227', '1477-8351']",483215,76,Unknown
61051229,"['1750-0184', '0001-9720']",342192,2695,Unknown
61051307,"['1468-2621', '0001-9909']",437421,2197,Unknown
61051419,"['0002-0184', '1469-2872']",437437,1263,Unknown
610518345,"['1469-9818', '1463-6204']",443774,479,Unknown
61052814,['1355-2198'],447266,1020,Unknown
61053939,"['1461-7250', '0022-0094']",442698,1696,Unknown
61058449,"['2041-4099', '0075-4269']",443037,2288,Unknown
61058474,"['0079-497X', '2050-2729']",446078,1355,Unknown
61062988,['1040-6182'],342715,9454,Unknown
61064191,"['0926-7220', '1573-1901']",446779,1694,Unknown
61065210,"['1469-9044', '0260-2105']",343284,1705,Unknown
61065247,"['1027-3239', '2518-1203']",500257,329,Unknown
61066610,"['0304-422X', '1872-7514']",445893,1465,Unknown
610723280,"['2738-8107', '2738-8115']",503175,14,True
610732875,['2055-5911'],483782,310,True
610747372,"['2325-7962', '2325-7989']",489350,176,Unknown
61075097,['1646-5954'],470681,154,True
61075149,"['1646-6020', '0870-8231']",482564,427,Unknown
61075252,['1646-6195'],487289,5,True
61075274,['1646-740X'],483896,155,True
61075302,['1646-7698'],504327,264,True
6107706,"['0031-2290', '1460-2482']",445599,1776,Unknown
610795902,"['1814-2036', '1025-6555']",482748,23,Unknown
610826672,"['2084-4158', '0137-2475']",481868,86,True
610826735,['2084-4409'],502549,23,Unknown
610826742,['2084-4506'],488315,93,Unknown
610850210,"['2050-070X', '2050-0718']",485808,65,Unknown
610850233,"['2050-0726', '2050-0734']",481407,175,Unknown
610868666,['2364-1177'],488640,77,True
610871217,['1448-7136'],470476,162,Unknown
610916254,"['1943-2178', '0266-6286']",448176,665,Unknown
610967519,"['1470-1154', '1364-2529']",446464,760,Unknown
610974127,"['1963-1022', '1622-468X']",484484,358,True
610979690,['0001-6829'],341595,44,Unknown
61099128,"['2040-0594', '1741-1548']",450969,354,Unknown
61099200,"['1741-1920', '1741-1912']",440369,390,Unknown
61101008922,['1350-7532'],450925,41,Unknown
6901352501,['2222-4262'],450925,37,Unknown
6110103081,"['1645-4537', '2397-5563']",474580,163,True
61101057339,"['1988-3056', '1137-0734']",472803,470,True
61101057779,"['1130-0531', '1988-2548']",472504,119,True
61101069521,['0043-2520'],448115,3,Unknown
61101069524,"['0043-2539', '1570-0607']",439897,538,Unknown
61101069759,"['0043-2547', '2196-9019']",488034,166,Unknown
61101182062,"['1473-2971', '2051-6231']",470606,149,Unknown
6110118312,"['0030-9230', '1477-674X']",445542,1015,Unknown
61101220107,"['1584-4927', '2285-5912']",497439,38,Unknown
61101220148,"['2286-0290', '2285-6382']",485349,55,Unknown
61101220172,"['1453-5068', '2285-6773']",499166,25,True
61101225951,"['1698-7799', '1698-7802']",474369,144,True
61101226737,['1698-6989'],483376,257,Unknown
61101226796,['1698-739X'],499138,11,True
61101226797,['1698-7454'],473984,90,True
61101233557,"['2105-2573', '0035-1423']",446589,722,Unknown
61101242035,"['1855-8399', '0353-6483']",483993,279,True
61101242896,"['2545-3238', '1898-6447']",496831,143,Unknown
61101249354,"['1638-1580', '0750-8069']",441169,522,True
61101249479,"['1777-5892', '0751-2708']",484454,459,Unknown
61101267182,"['1427-9657', '2451-2567']",496392,44,True
61101267191,"['2451-280X', '1644-8561']",486449,264,True
61101276818,"['1045-1595', '2162-4070']",482765,776,Unknown
61101278059,"['1740-5904', '1740-5912']",439573,584,Unknown
61101278156,"['1751-7427', '1740-6315']",469883,276,Unknown
61101287653,['1730-0274'],485052,1,Unknown
61101288927,"['1479-0963', '1745-8218']",477651,85,Unknown
61101306504,"['1841-1940', '2559-5490']",476204,9,True
61101306527,"['1841-2416', '2068-9667']",503529,10,True
61101306686,['1841-964X'],475936,108,True
61101312320,"['2657-8808', '2658-0810']",493685,55,True
61101312341,['2657-8964'],500433,8,True
61101312370,['2657-9774'],499911,10,True
61101312375,"['2658-0349', '1509-877X']",497795,64,Unknown
61101312414,['2658-1248'],498019,1,Unknown
62301605288,['1896-4087'],498019,17,Unknown
61101312417,"['0066-6041', '2658-1264']",481746,41,True
61101312421,['2658-1310'],486860,25,Unknown
61101390378,"['1654-6369', '1654-4951']",476496,204,True
61101417998,['2353-6098'],485928,12,Unknown
61101418002,['2353-6306'],486802,8,Unknown
61101418011,"['1230-5057', '2353-6403']",482995,37,Unknown
61101418099,['2353-6969'],485995,5,True
61101418105,['2353-7000'],485240,65,Unknown
61101418130,"['2353-7043', '1426-1898']",484078,96,True
61101418188,"['2300-9853', '2353-7086']",485030,57,True
61101418257,['1849-9066'],488271,4,Unknown
61101418261,['1849-921X'],503571,44,True
61101503706,"['1010-9161', '2409-5540']",468610,131,Unknown
61101503769,"['1011-0070', '1862-2585']",504495,612,Unknown
61101520732,['2532-6457'],498742,12,True
61101801595,['2611-934X'],498742,2,True
61101520740,['2532-6848'],493749,17,True
61101521032,['2545-1936'],485398,11,True
61101576829,"['2657-9057', '1230-5502']",500327,42,Unknown
61101576850,['1230-6045'],495214,7,Unknown
61101576863,"['1230-6894', '2657-5868']",484418,14,Unknown
6110158061,"['1755-2036', '1750-1245']",471022,204,Unknown
61101592417,"['1777-5450', '0760-5668']",482453,772,Unknown
61101607291,"['2345-0487', '2345-0479']",484966,282,True
61101607337,"['2345-1181', '2537-6136']",490407,1,True
61101607340,['2345-1734'],488682,6,Unknown
61101607344,"['2345-1262', '2345-184X']",486063,18,True
61101613236,['2312-5829'],487345,198,True
61101613363,['2223-1609'],494566,540,Unknown
61101615050,"['2620-0406', '0354-8872']",491148,108,True
61101666991,"['2334-7058', '2334-7171']",491331,59,Unknown
61101667019,"['2334-718X', '2334-704X']",491332,32,Unknown
61101667060,"['1821-0147', '2334-7287']",486372,154,True
61101667124,"['2334-7449', '2334-735X']",488181,146,True
61101667158,"['2334-7465', '2217-415X']",496698,16,True
61101667180,['2334-8003'],487060,1,Unknown
61101667194,"['2334-816X', '2334-8356']",502252,115,True
61101667220,"['2334-833X', '2334-7597']",488026,12,Unknown
61101669473,"['2736-3082', '0870-0133']",482548,158,Unknown
61101669595,"['2173-1292', '2174-5145']",485624,231,True
61101669652,"['0210-3729', '2174-517X']",481981,58,True
61101669670,['2174-5218'],484851,106,True
61101673998,"['2051-7041', '2051-705X']",499139,73,Unknown
61101674021,"['2051-7076', '2051-7068']",485807,42,Unknown
61101674042,"['2051-7084', '2051-7092']",486127,92,Unknown
61101674064,"['2051-7106', '2051-7114']",486838,127,Unknown
61101697305,"['1361-4533', '1740-7834']",445192,463,Unknown
61101702624,['1801-3422'],475877,169,True
61101702799,['1802-1115'],489780,82,Unknown
61101703995,"['2353-7140', '2353-7159']",501958,5,Unknown
61101704107,"['1896-2327', '2353-7787']",498980,11,True
61101729119,"['1437-7160', '2366-7796']",483181,243,Unknown
61101770930,"['2263-4746', '1277-7897']",489613,186,True
61101801495,"['2611-3686', '0065-0900']",437157,46,True
61101801577,"['2611-7207', '2611-7193']",497122,29,True
61101801610,['2612-2138'],498909,52,True
61101803006,"['1742-5786', '1740-8989']",445782,693,Unknown
61101808121,"['1613-0723', '0022-7498']",444155,418,Unknown
61101808274,"['0079-4848', '1613-0804']",445990,367,Unknown
61101816754,"['2049-775X', '0814-0626']",485607,581,Unknown
61101820381,['2182-2875'],439938,20,Unknown
62403104275,['0873-626X'],439938,268,Unknown
61101824216,"['0035-8126', '1864-0737']",446685,67,Unknown
61101837386,"['0802-6106', '1473-4192']",342238,763,Unknown
61101848263,"['2049-9388', '2009-3829']",489487,197,Unknown
61101848313,['2009-4078'],500495,316,True
61101884967,"['0212-4130', '2530-8548']",471620,13,Unknown
61101885025,"['0212-6109', '2041-3335']",482015,796,Unknown
61101899766,"['1644-6739', '2449-9765']",498021,12,Unknown
61101900646,"['2300-8695', '1641-4233']",484830,105,True
61101908026,['2695-639X'],502742,16,True
61101908036,"['0015-6043', '2695-6462']",487269,125,True
61101908048,"['0147-3085', '2695-7183']",501789,93,True
61101908117,['2695-7191'],504546,3,True
61101943118,"['2463-7807', '0353-0329']",482226,28,Unknown
61101943208,['2464-1596'],489092,44,True
61101943239,['2464-2525'],488346,12,True
61101943303,['2464-479X'],490925,4,True
61101943331,"['1804-624X', '2464-6504']",488839,2,Unknown
61101983323,['0025-1429'],481290,39,Unknown
61101984514,"['2308-0019', '1815-3070']",490404,11,True
61102001201,['2500-3755'],499245,3,Unknown
61102002314,"['1234-9224', '2544-0799']",477012,7,True
61102049933,"['2658-2503', '2084-6045']",486009,19,True
61102049939,"['2658-2899', '0031-0522']",450991,87,True
61102066856,"['2013-9004', '0210-2862']",493767,548,True
61102087608,"['2077-429X', '2077-4303']",486236,497,Unknown
61102101253,"['2298-8408', '2298-8394']",490066,8,True
61102118704,['2564-8837'],502333,121,Unknown
61701743867,['1886-6344'],502333,25,Unknown
61102131419,"['1821-4827', '1821-3138']",501794,25,Unknown
61102131455,"['1821-3332', '2620-2794']",496961,5,Unknown
61102131459,"['2334-6191', '1821-3448']",499200,106,True
6110213530,"['1755-201X', '1460-8235']",475529,359,Unknown
61102142841,"['1156-0428', '2114-2203']",482931,883,Unknown
61102144065,['0137-7264'],496849,30,Unknown
61102144111,['0137-8651'],489609,46,Unknown
61102144129,['0137-9585'],484157,30,Unknown
61102144134,"['0137-9712', '2545-045X']",450995,15,Unknown
61102144150,['0138-0567'],470799,13,Unknown
61102154369,['2080-5209'],500428,5,Unknown
61102154373,"['2719-9606', '2080-5268']",486804,65,Unknown
61102154400,['2080-5926'],485054,62,True
61303532917,['2080-5926'],485054,1,True
62602009540,['2391-4491'],485054,67,True
6803959036,"['2080-5926', '2391-4491']",485054,4,True
61102154451,"['2449-9811', '2080-5993']",497961,45,Unknown
61102166499,"['1938-8071', '1938-8063']",477021,313,Unknown
61102193376,"['1989-6131', '1578-7044']",478852,126,True
61102194128,['1989-5917'],485706,57,True
61102194166,"['1989-600X', '1695-6206']",504731,15,True
61102194171,"['1989-6115', '1576-4184']",483274,89,Unknown
61102194246,"['1989-631X', '1137-1102']",488183,65,True
61102194267,['1989-6328'],484867,3,Unknown
61102194271,"['1138-414X', '1989-6395']",473747,251,True
61102209849,"['1689-4774', '2543-4373']",486457,36,Unknown
61102222835,"['1892-9729', '1892-9710']",479033,40,True
61102241796,"['2001-0818', '2049-9531']",478159,205,Unknown
61102241851,"['2001-1377', '1654-5443']",475684,75,Unknown
611022768,"['0735-0414', '1464-3502']",340678,3712,Unknown
611022785,"['1469-8366', '0729-4360']",441153,1959,Unknown
61102394127,"['1875-6719', '0165-7305']",451330,243,Unknown
61102395316,"['2424-3477', '2424-4422']",498651,24,True
61102395360,"['2424-4708', '1392-1002']",488835,4,Unknown
61102395406,"['1392-0219', '2424-547X']",501840,12,True
61102395411,"['2335-2337', '2424-5488']",488686,31,True
6110240057,"['2633-6898', '2632-6779']",501760,27,True
61102440789,"['0048-671X', '2202-932X']",446327,438,Unknown
61102460135,"['0943-8610', '2194-508X']",450894,125,Unknown
61102465844,['0044-8699'],481729,6,Unknown
61102617807,"['1422-6944', '1422-6960']",445807,342,Unknown
61102634227,"['2160-2506', '0143-3768']",479167,324,Unknown
61102670172,"['2211-8330', '2211-8349']",486539,47,Unknown
61102760544,"['0022-1791', '1573-0395']",341304,965,Unknown
61102771176,['0081-6124'],447211,2,Unknown
61102771192,['0081-6485'],501997,28,Unknown
61102771217,['0081-6884'],481818,15,True
61102792643,"['1529-1006', '1539-6053']",446193,131,Unknown
611027963,"['0392-1921', '1467-7695']",439909,1043,Unknown
61102841494,"['1437-0751', '0178-7667']",440760,624,Unknown
61102885557,"['1572-9885', '0168-6577']",342186,828,Unknown
61102888192,"['2336-4386', '0231-5823']",485447,194,Unknown
611029399,"['1475-4754', '0003-813X']",437992,2480,Unknown
611030684,"['0961-5652', '1745-8188']",482684,469,Unknown
61103120362,"['0269-1213', '1477-4658']",446396,719,Unknown
6110323806,"['1751-942X', '1751-9411']",476943,183,Unknown
6110325637,['2048-7754'],489164,330,True
6110332540,"['1744-2532', '2516-5305']",491709,86,Unknown
6110332784,"['1744-2656', '1744-2648']",478242,551,Unknown
61103341775,"['1783-1490', '0019-0829']",442222,733,Unknown
61103350139,['0255-0539'],499036,72,True
61103354363,"['0966-3622', '1572-8455']",440619,573,Unknown
6110336928,"['1752-2692', '0265-1068']",446898,196,Unknown
61103475568,"['2551-895X', '2727-0831']",504109,1,Unknown
61103476670,['2661-5401'],504127,1,True
61103502905,['0023-5911'],481607,1,Unknown
61103549344,['1640-6281'],499950,1,Unknown
61103823404,['1617-1837'],468552,1,Unknown
611043746,"['1132-631X', '2792-3878']",479773,5,True
