EP_id,Publications_in_venue,Original_Title,Country_of_Publication,ERIH_PLUS_Disciplines,disc_count
493998,30,Acta Universitatis Wratislaviensis. Prawo,Poland,Law,1
343614,3450,Review of Economic Studies,United Kingdom,"Business and Management, Economics",2
491325,298,Voluntary Sector Review,United Kingdom,"Sociology, Interdisciplinary research in the Social Sciences",2
476337,424,Philosophia Scientiæ,France,"History & Philosophy of Science, Philosophy",2
487502,61,GfK Marketing Intelligence Review,Germany,Business and Management,1
470364,85,Mediterranean Studies,United Kingdom,"Anthropology, Archaeology, History, Cultural Studies, Linguistics, Interdisciplinary research in the Social Sciences",6
490827,286,IdeAs. Idées d’Amériques,France,Interdisciplinary research in the Social Sciences,1
488048,112,Revista de Artes Marciales Asiáticas (RAMA),Spain,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
485444,24,Dereito: revista xurídica da Universidade de Santiago de Compostela,Spain,Law,1
476357,67,Ibersid: revista de sistemas de información y documentación,Spain,"Library and Information Science, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
472147,55,Anuario de Historia de la Iglesia,Spain,Religious Studies and Theology,1
471167,110,Rilce Revista de Filología Hispánica,Spain,"Linguistics, Literature",2
493344,85,Aula: Revista de Pedagogía de la Universidad de Salamanca,Spain,Pedagogical & Educational Research,1
498368,10,Odisea,Spain,"Linguistics, Literature",2
482005,79,Ágora. Papeles de filosofia,Spain,Philosophy,1
483340,42,"Diasporas. Circulations, migrations, histoire",France,History,1
479724,215,Anales Cervantinos,Spain,Literature,1
481993,188,Cuadernos de Estudios Gallegos,Spain,"History, Interdisciplinary research in the Humanities",2
441159,436,Hispania,Spain,History,1
494800,45,Virtual Creativity,United Kingdom,"Art and Art History, Media Studies and Communication",2
486387,367,European Politics and Society,United Kingdom,Political Sciences and International Relations,1
482987,8,"Codrul Cosminului. Analele ştinnţifice ale Universitatii 'Stefan cel Mare' din Suceava, Seria Istorie",Romania,"History, Interdisciplinary research in the Humanities, Political Sciences and International Relations",3
494634,28,Studia Universitatis Babes-Bolyai. Theologia Orthodoxa,Romania,"Musicology, Religious Studies and Theology",2
482988,9,Analele universitatii din Craiova.Istorie (Annals of the University of Craiova.History),Romania,"Art and Art History, History",2
485494,37,Ljetopis socijalnog rada,Croatia,Interdisciplinary research in the Social Sciences,1
488695,48,Journal of Systems Integration,Czechia,Business and Management,1
485432,63,Financial Assets and Investing,Czechia,"Business and Management, Economics",2
484814,54,Celoživotní Vzdělávání,Czechia,Pedagogical & Educational Research,1
446660,288,Rivista di storia della filosofia,Italy,Philosophy,1
490688,88,Corps et Psychisme. Recherches en psychanalyse et sciences humaines,France,"Psychology, Interdisciplinary research in the Social Sciences",2
502036,3,Sociopoétiques,France,Literature,1
486991,1,Studia Politica Slovaca,Slovakia,"History, Political Sciences and International Relations",2
493615,27,Geografická revue,Slovakia,"Demography, Environmental Studies, Human Geography and Urban Studies, Pedagogical & Educational Research",4
503325,2,Genealogy+Critique,United Kingdom,"Art and Art History, History, Cultural Studies, Media Studies and Communication, Political Sciences and International Relations, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",7
484913,122,Ocnos: Revista de estudios sobre lectura,Spain,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
486633,68,Revista Iberoamericana de Ciencias de la Actividad Física y el Deporte,Spain,"Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research",2
484031,129,Signa: revista de la Asociacion Espanola de Semiotica,Spain,"Literature, Film and Theatre Studies",2
485906,13,IMAGO Revista de Emblemática y Cultura Visual,Spain,Interdisciplinary research in the Humanities,1
486222,15,La Tribuna. Cadernos de estudos da Casa Museo Emilia Pardo Bazán,Spain,"Gender Studies, History, Interdisciplinary research in the Humanities, Literature",4
490537,198,Acción Psicológica,Spain,Psychology,1
491618,14,Human Research in Rehabilitation,Bosnia and Herzegovina,"Economics, Law, Sociology, Linguistics, Psychology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",7
485762,94,Fonseca Journal of Communication,Spain,Media Studies and Communication,1
502617,8,Słowo. Studia językoznawcze,Poland,Linguistics,1
500383,7,Kwartalnik Naukowy Fides et Ratio,Poland,"Anthropology, Archaeology, Art and Art History, History, History & Philosophy of Science, Cultural Studies, Sociology, Literature, Pedagogical & Educational Research, Philosophy, Psychology, Religious Studies and Theology, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",14
485234,9,Peitho. Examina Antiqua,Poland,"History & Philosophy of Science, Linguistics, Literature, Philosophy",4
502079,9,Dziennikarstwo i Media,Poland,"Media Studies and Communication, Interdisciplinary research in the Humanities",2
485862,12,Pedagogika Rodziny. Family Pedagogy,Poland,"Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research, Psychology, Sociology",4
484873,17,Roczniki Kulturoznawcze,Poland,"Art and Art History, Cultural Studies, Interdisciplinary research in the Humanities",3
484796,278,Polish Journal of Sport and Tourism,Poland,"Environmental Studies, Human Geography and Urban Studies",2
485412,131,Białostockie Studia Literaturoznawcze,Poland,"Cultural Studies, Interdisciplinary research in the Humanities, Linguistics, Literature",4
497955,77,Kwartalnik Nauk o Przedsiębiorstwie,Poland,"Business and Management, Economics",2
498683,49,Financial Internet Quarterly,Poland,"Business and Management, Economics, Interdisciplinary research in the Social Sciences",3
485655,27,The Medieval Low Countries,Belgium,History,1
444433,105,Linguistica Anverpiensia New Series – Themes in Translation Studies,Belgium,"Literature, Linguistics",2
486151,42,Toruńskie Studia Bibliologiczne,Poland,"Library and Information Science, Media Studies and Communication",2
494074,105,Economics and Business Review,Poland,Economics,1
505358,30,Radca Prawny. Zeszyty Naukowe,Poland,Law,1
486171,4,Załącznik Kulturoznawczy,Poland,Cultural Studies,1
489166,120,Studies in the Maternal,United Kingdom,"Gender Studies, Cultural Studies, Demography, Economics, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",6
481869,11,Przegląd rusycystyczny,Poland,Linguistics,1
500274,19,Recherches Archéologiques Nouvelle Serie,Poland,Archaeology,1
499162,4,Studia Maritima,Poland,"Archaeology, History, Interdisciplinary research in the Humanities",3
485397,62,Roczniki Nauk Społecznych,Poland,"Interdisciplinary research in the Social Sciences, Political Sciences and International Relations, Sociology",3
496806,127,Studia Iuridica,Poland,Law,1
502084,87,Polityka Społeczna,Poland,"Demography, Economics, Law, Political Sciences and International Relations, Sociology, Interdisciplinary research in the Social Sciences",6
484825,275,Studies in Second Language Learning and Teaching,Poland,"Linguistics, Pedagogical & Educational Research",2
484774,6,Psychologia Ekonomiczna,Poland,"Economics, Psychology",2
484968,29,Ogrody Nauk i Sztuk,Poland,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
478910,21,Reports on Mathematical Logic,Poland,Philosophy,1
486193,53,Zdrowie Publiczne i Zarządzanie,Poland,"Business and Management, Demography, Sociology",3
486041,86,Studia Humanistyczne AGH,Poland,"Anthropology, Cultural Studies, Demography, Economics, Film and Theatre Studies, Gender Studies, History, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Media Studies and Communication, Political Sciences and International Relations, Religious Studies and Theology, Sociology",14
485105,42,Terminus,Poland,"Interdisciplinary research in the Humanities, Literature",2
484152,65,Psychologia Rozwojowa,Poland,"Interdisciplinary research in the Social Sciences, Psychology",2
486190,46,ELECTRUM Journal of Ancient History,Poland,"Archaeology, Cultural Studies, History",3
486197,58,Romanica Cracoviensia,Poland,Linguistics,1
486195,15,"Scripta Judaica Cracoviensia: Studia z historii, kultury i religii Żydów",Poland,History,1
486110,35,Studia Litteraria Universitatis Iagellonicae Cracoviensis,Poland,"Human Geography and Urban Studies, Literature",2
483874,7,Yearbook of Conrad Studies,Poland,Literature,1
485869,61,Wielogłos - Pismo Wydziału Polonistyki Uniwersytetu Jagiellońskiego,Poland,Literature,1
499807,234,Scientific Journal of Silesian University of Technology. Series Transport,Poland,Interdisciplinary research in the Social Sciences,1
477341,181,Cambridge Classical Journal,United Kingdom,Classical Studies,1
481799,26,Przegląd Archeologiczny,Poland,Archaeology,1
498942,44,Virtual Economics,Poland,"Business and Management, Economics, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",4
496673,31,Zeszyty Wiejskie,Poland,Anthropology,1
497799,47,Logopaedica Lodziensia,Poland,"Interdisciplinary research in the Humanities, Linguistics, Media Studies and Communication, Pedagogical & Educational Research, Psychology",5
486827,8,Folia Toruniensia,Poland,Library and Information Science,1
491011,22,Quêtes Littéraires,Poland,Literature,1
482999,27,Medycyna nowożytna. Studia nad historią medycyny,Poland,"History, History & Philosophy of Science, Interdisciplinary research in the Humanities",3
483950,66,Wieś i Rolnictwo,Poland,"Demography, Economics, Interdisciplinary research in the Social Sciences, Sociology",4
481795,10,Organon,Poland,"History & Philosophy of Science, Philosophy",2
494567,150,Біоресурси і природокористування,Ukraine,Environmental Studies,1
340784,1113,Journal for General Philosophy of Science (JGPS),Netherlands,"History & Philosophy of Science, Philosophy",2
474903,57,Ikon - Journal of the iconographic studies,Croatia,Art and Art History,1
484875,53,"Libellarium: journal for the research of writing, books, and cultural heritage institutions",Croatia,"Library and Information Science, Media Studies and Communication",2
489002,43,Zbornik radova Pravnog fakulteta u Splitu,Croatia,"Interdisciplinary research in the Social Sciences, Law, Political Sciences and International Relations",3
441984,7439,International Journal of Production Economics,Netherlands,"Science and Technology Studies, Business and Management, Economics",3
483290,53,Verbum Analecta Neolatina,Hungary,"Art and Art History, Linguistics, Literature",3
471871,307,Across Languages and Cultures,Hungary,Linguistics,1
445001,726,Musicae Scientiae,United Kingdom,Musicology,1
435962,214,Nordic Studies in Science Education,Norway,Pedagogical & Educational Research,1
484452,186,Lucentum,Spain,"Archaeology, Classical Studies",2
489112,375,Virtual Archaeology Review,Spain,Archaeology,1
494160,126,Alternativas. Cuadernos de Trabajo Social,Spain,"Human Geography and Urban Studies, Interdisciplinary research in the Social Sciences, Sociology",3
483173,27,Scientia Poetica,Germany,Literature,1
447443,874,Text and Performance Quarterly,United Kingdom,Literature,1
442384,1519,Journal of American Studies,United Kingdom,"Cultural Studies, History",2
442388,1904,Journal of Analytical Psychology,United Kingdom,Psychology,1
340772,8347,Journal of Anatomy,United Kingdom,Anthropology,1
493666,127,Queen Mary Journal of Intellectual Property,United Kingdom,Law,1
500521,6,Security Science Journal,Croatia,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Law, Political Sciences and International Relations, Sociology",5
504200,25,Nicholai Studies: International Journal for Research of Theological and Ecclesiastical Contribution of Nicholai Velimirovich,Serbia,"History, Political Sciences and International Relations, Linguistics, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Humanities",6
498652,348,Ekonomika,Lithuania,Economics,1
498529,8,Journal of Education and Humanities,Bosnia and Herzegovina,"Pedagogical & Educational Research, Interdisciplinary research in the Humanities",2
492981,64,"Journal of Nationalism, Memory & Language Politics",Czechia,"History, Political Sciences and International Relations, Linguistics",3
485911,108,Bellaterra Journal of Teaching & Learning Language & Literature,Spain,"Linguistics, Pedagogical & Educational Research",2
485816,173,Journal of Technology and Science Education (JOTSE),Spain,"Pedagogical & Educational Research, Science and Technology Studies",2
486738,57,Trabajo Social Global: revista de investigaciones en intervención social,Spain,"Interdisciplinary research in the Social Sciences, Sociology",2
493246,2,Revista de Estudios Globales y Arte Contemporáneo,Spain,"Art and Art History, Cultural Studies, Human Geography and Urban Studies, Interdisciplinary research in the Humanities",4
497834,77,"Zdorovʹe, sport, reabilitaciâ",Ukraine,"Pedagogical & Educational Research, Psychology",2
496981,57,Українська біографістика = Biographistica Ukrainica [Ukraïnsʹka bìografìstika],Ukraine,"History, Library and Information Science, Interdisciplinary research in the Social Sciences",3
488339,5,Procedia of Economics and Business Administration,Romania,"Business and Management, Gender Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Pedagogical & Educational Research, Political Sciences and International Relations, Science and Technology Studies, Social Statistics and Informatics, Sociology",9
490639,20,Romanian Journal of Applied Psychology,Romania,Psychology,1
489940,2,Anastasis. Research in Medieval Culture and Art,Romania,Interdisciplinary research in the Humanities,1
494249,39,SCIENTIFIC BULLETIN OF NAVAL ACADEMY,Romania,"Business and Management, Economics, Political Sciences and International Relations, Science and Technology Studies, Environmental Studies, Pedagogical & Educational Research",6
486075,1,CULTURAL INTERTEXTS,Romania,"Cultural Studies, Film and Theatre Studies, Interdisciplinary research in the Humanities, Linguistics, Literature, Media Studies and Communication",6
488760,9,GEOSPORT FOR SOCIETY,Romania,"Environmental Studies, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",4
490508,266,Journal of Innovation & Knowledge (JIK),Spain,"Business and Management, Economics",2
503935,277,Fossil Record,Germany,Environmental Studies,1
486034,43,Ladinia - sföi cultural dai ladins dles Dolomites,Italy,"Archaeology, History, Linguistics, Literature",4
465839,27,Memoria e Ricerca. Rivista di Storia Contemporanea,Italy,History,1
468701,34,Managing Global Transitions,Slovenia,"Business and Management, Economics, Interdisciplinary research in the Social Sciences",3
487503,69,Innovative Issues and Approaches in Social Sciences,Slovenia,"Business and Management, Economics, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Political Sciences and International Relations, Sociology",6
490524,45,Academica Turistica - Tourism and Innovation Journal,Slovenia,"Business and Management, Economics, Sociology, Interdisciplinary research in the Social Sciences",4
475408,311,Lex Localis,Slovenia,"Law, Political Sciences and International Relations",2
486261,58,"Ìnstitut buhgaltersʹkogo oblìku, kontrolʹ ta analìz v umovah globalìzacìï",Ukraine,"Business and Management, Economics, Interdisciplinary research in the Social Sciences",3
437860,624,Anthropology & Medicine,United Kingdom,Anthropology,1
475791,11,Studia Europejskie - Studies in European Affairs,Poland,"Economics, Law, Political Sciences and International Relations, Sociology, Interdisciplinary research in the Humanities",5
488932,50,"Annales Universitatis Mariae Curie-Skłodowska, Sectio K: Politologia",Poland,"History, Media Studies and Communication, Philosophy, Political Sciences and International Relations",4
488932,6,"Annales Universitatis Mariae Curie-Skłodowska, Sectio K: Politologia",Poland,"History, Media Studies and Communication, Philosophy, Political Sciences and International Relations",4
483170,8,Journal of Urban Ethnology,Poland,"Anthropology, Cultural Studies, History, Human Geography and Urban Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Religious Studies and Theology, Sociology",8
480650,83,Journal of Linguistic Geography,United Kingdom,Linguistics,1
485154,79,Journal for the Cognitive Science of Religion,United Kingdom,"Interdisciplinary research in the Social Sciences, Religious Studies and Theology",2
494060,90,Вісник соціально-економічних досліджень,Ukraine,"Business and Management, Demography, Economics",3
491159,27,Kyiv-Mohyla Humanities Journal,Ukraine,"History, Literature, Philosophy",3
485166,69,Österreichische Zeitschrift für Politikwissenschaft,Austria,"Interdisciplinary research in the Social Sciences, Political Sciences and International Relations",2
485568,66,Investigación en la escuela,Spain,Pedagogical & Educational Research,1
447598,647,The Journal of Agricultural Education and Extension,United Kingdom,Pedagogical & Educational Research,1
486918,4,Journal of International Network Center for Fundamental and Applied Research,Slovakia,"History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
501801,45,Mìžnarodnì zv’âzki Ukraïni: naukovì pošuki ì znahìdki,Ukraine,History,1
496735,67,Review of European and Comparative Law,Poland,Law,1
485652,56,NEOFILOLOG,Poland,"Linguistics, Pedagogical & Educational Research",2
487500,62,Jelentés és Nyelvhasználat,Hungary,Linguistics,1
480254,1,Acta Universitatis Danubius. Œconomica,Romania,"Business and Management, Economics",2
503139,95,Timişoara Physical Education and Rehabilitation Journal,Romania,Interdisciplinary research in the Humanities,1
497626,6,Проблеми сучасного підручника,Ukraine,Pedagogical & Educational Research,1
447915,59,Tropelías: Revista de Teoría de la Literatura y Literatura Comparada,Spain,Literature,1
482903,15,Ayer,Spain,History,1
482414,5,Senjski zbornik,Croatia,Art and Art History,1
484500,2,Slovo,Croatia,"Linguistics, Literature",2
496593,2,"Croatica : časopis za hrvatski jezik, književnost i kulturu",Croatia,"Cultural Studies, Linguistics, Literature",3
487234,150,Zagreb International Review of Economics and Business,Croatia,"Business and Management, Economics",2
485844,3,Dubrovnik International Economic Meeting - DIEM,Croatia,"Business and Management, Economics",2
482376,4,Peristil,Croatia,Art and Art History,1
494668,3,Obrazovanje za poduzetništvo - E4E,Croatia,"Business and Management, Economics",2
474343,91,Zbornik radova Ekonomskog fakulteta u Rijeci: časopis za ekonomsku teoriju i praksu,Croatia,"Business and Management, Economics",2
499939,17,Research Papers in Economics and Finance,Poland,Economics,1
340670,4270,Journal of Public Economics,Netherlands,"Business and Management, Economics",2
446381,1351,Religion,United Kingdom,Religious Studies and Theology,1
487102,46,GENEROS- Multidisciplinary Journal of Gender Studies,Spain,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
473262,40,Journal of Power Institutions in Post-Soviet Societies,France,Political Sciences and International Relations,1
502378,31,Economics & Law,Bulgaria,"Economics, Law",2
443174,322,Journal of Islamic Studies,United Kingdom,Religious Studies and Theology,1
448356,567,Twentieth Century British History,United Kingdom,History,1
486053,11,Methis. Studia humaniora Estonica,Estonia,"Cultural Studies, Film and Theatre Studies, Interdisciplinary research in the Humanities, Literature",4
483520,142,Baltic Journal of European Studies,Estonia,"Economics, Political Sciences and International Relations",2
471784,112,Journal of Ethnology and Folkloristics,Estonia,"Anthropology, Cultural Studies",2
485747,96,Eesti ja soome-ugri keeleteaduse ajakiri,Estonia,Linguistics,1
484808,43,Acta Baltica Historiae et Philosophiae Scientiarum,Estonia,"History & Philosophy of Science, Science and Technology Studies",2
483137,17,Ajalooline Ajakiri. The Estonian Historical Journal,Estonia,History,1
468461,45,Interlitteraria,Estonia,Literature,1
486054,44,Studia Philosophica Estonica,Estonia,Philosophy,1
485251,396,Przegląd Socjologii Jakościowej,Poland,"Interdisciplinary research in the Social Sciences, Sociology",2
496472,68,"Translation, Cognition and Behavior",Netherlands,"Science and Technology Studies, Linguistics, Philosophy, Psychology, Interdisciplinary research in the Social Sciences",5
491676,187,Engineering Management in Production and Services,Poland,"Business and Management, Economics, Science and Technology Studies",3
499188,5,Catallaxy,Poland,"Business and Management, Economics",2
340854,1744,Journal of Philosophy of Education,United Kingdom,"Philosophy, Pedagogical & Educational Research",2
442994,1603,Journal of Geography in Higher Education,United Kingdom,Pedagogical & Educational Research,1
498425,132,Наука та наукознавство,Ukraine,"History, History & Philosophy of Science, Library and Information Science, Business and Management, Economics, Law, Political Sciences and International Relations, Science and Technology Studies, Social Statistics and Informatics, Pedagogical & Educational Research, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",12
442146,1055,Interventions: International Journal of Postcolonial Studies,United Kingdom,Literature,1
447885,2505,Transportation Research Part F: Traffic Psychology and Behaviour,United Kingdom,Psychology,1
342362,1922,Business History,United Kingdom,History,1
497191,7,"Педагогічні інновації: ідеї, реалії, перспективи",Ukraine,"Pedagogical & Educational Research, Philosophy, Psychology",3
493859,98,Annali di Ca' Foscari. Serie orientale,Italy,"Art and Art History, Classical Studies, History, Cultural Studies, Linguistics, Literature, Philosophy, Religious Studies and Theology, Interdisciplinary research in the Humanities",9
484935,50,Journal of Open Archaeology Data,United Kingdom,"Archaeology, History",2
504668,17,Glocality: Undergraduate Academic Journal,United Kingdom,"Business and Management, Sociology",2
470710,402,Journal of Children's Services,United Kingdom,"Sociology, Pedagogical & Educational Research, Psychology",3
446258,320,QUADERNI URBINATI DI CULTURA CLASSICA,Italy,"Anthropology, Archaeology, Classical Studies, Cultural Studies, Linguistics, Literature",6
341593,2521,New Media & Society,United Kingdom,Media Studies and Communication,1
490674,15,Український часопис конституційного права,Ukraine,Law,1
471082,184,Acta Didactica Norge,Norway,Pedagogical & Educational Research,1
476248,51,Athenaeum. Polskie Studia Politologiczne,Poland,"Media Studies and Communication, Political Sciences and International Relations",2
438317,913,Azania,United Kingdom,"Archaeology, History",2
343684,1935,Environment and Behavior,United Kingdom,Psychology,1
476487,216,Contemporary Pragmatism,Netherlands,Philosophy,1
449281,62,Scolia,France,Linguistics,1
444300,778,Language Teaching,United Kingdom,Linguistics,1
475499,146,Middle East Law and Governance,Netherlands,Law,1
444246,40,La Revue Mandenkan,France,Linguistics,1
486895,31,Archaeologia Historica Polona,Poland,Archaeology,1
444432,439,Linguistic Typology,Germany,Linguistics,1
480947,108,Journal of International Humanitarian Legal Studies,Netherlands,Law,1
484563,272,Longitudinal and Life Course Studies,United Kingdom,"Sociology, Social Statistics and Informatics, Interdisciplinary research in the Social Sciences",3
489110,83,Cuadernos de Ilustración y Romanticismo,Spain,"Art and Art History, Cultural Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Linguistics, Literature",6
489031,38,Boletín de Literatura Oral,Spain,"Cultural Studies, Literature",2
487721,30,GeoGraphos,Spain,Human Geography and Urban Studies,1
485918,32,Revista Internacional de Estudios Migratorios,Spain,"Anthropology, Sociology",2
500226,70,Con A de animación,Spain,"Art and Art History, Film and Theatre Studies",2
415406,1240,Stress and Health,United Kingdom,Psychology,1
340319,1669,Psychotherapy Research,United Kingdom,Psychology,1
484951,952,Technological and Economic Development of Economy,Lithuania,"Business and Management, Economics",2
340512,1484,Ethnos,United Kingdom,Anthropology,1
473542,1042,Nuevo mundo - mundos nuevos,France,History,1
445607,918,"Pastoral Care in Education: An International Journal of Personal, Social and Emotional Development",United Kingdom,Pedagogical & Educational Research,1
493451,3,Stati inu obstati,Slovenia,"History, Religious Studies and Theology, Interdisciplinary research in the Humanities",3
485925,31,"Theory, Methodology, Practice",Hungary,"Business and Management, Economics",2
444381,259,Les Études philosophiques,France,Philosophy,1
482587,59,Ex Aequo,Portugal,Gender Studies,1
483995,11,Germanica Wratislaviensia,Poland,"Linguistics, Literature",2
488598,2,Hrvatski dijalektološki zbornik (HDZ),Croatia,Linguistics,1
438076,103,Aries,Netherlands,"History, Religious Studies and Theology",2
503846,10,KULTURA POLISA,Serbia,"Cultural Studies, Media Studies and Communication, Political Sciences and International Relations, Philosophy, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",6
444403,1156,Library,United Kingdom,"History, Literature",2
496401,2,"Journal of Agronomy, Technology and Engineering Management",Serbia,"Business and Management, Economics, Environmental Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Science and Technology Studies",6
503228,27,Calitatea Vieții,Romania,"Demography, Political Sciences and International Relations, Sociology, Interdisciplinary research in the Social Sciences",4
490018,1,Revista de Etnologie și Culturologie,Moldova,"Anthropology, History, Interdisciplinary research in the Humanities",3
485193,16,Moderna Språk,Sweden,"Interdisciplinary research in the Humanities, Linguistics",2
340602,2,Linguistische Berichte,Germany,Linguistics,1
471064,40,Revista española de lingüística,Spain,Linguistics,1
479800,1510,Komunikácie - vedecké listy Žilinskej univerzity v Žiline,Slovakia,"Business and Management, Science and Technology Studies, Environmental Studies, Interdisciplinary research in the Social Sciences",4
494173,8,Науковий часопис Академії національної безпеки,Ukraine,"Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",2
440706,928,Folia linguistica,Germany,Linguistics,1
442358,1060,Journal of Agricultural and Environmental Ethics,Netherlands,"Philosophy, Religious Studies and Theology, History & Philosophy of Science",3
483022,159,Revue d’éthique et de théologie morale,France,Religious Studies and Theology,1
496491,47,Journal of Information and Organizational Sciences (JIOS),Croatia,"Library and Information Science, Social Statistics and Informatics",2
448182,1757,World archaeology,United Kingdom,Archaeology,1
439837,948,The Design Journal,United Kingdom,Art and Art History,1
483215,76,Aramaic Studies,United Kingdom,Religious Studies and Theology,1
342192,2695,Africa,United Kingdom,"Anthropology, History",2
437421,2197,African Affairs,United Kingdom,Political Sciences and International Relations,1
437437,1263,African Studies,United Kingdom,Anthropology,1
443774,479,Journal of Spanish Cultural Studies,United Kingdom,"Cultural Studies, Media Studies and Communication, Film and Theatre Studies",3
447266,1020,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics,United Kingdom,"History & Philosophy of Science, Philosophy",2
442698,1696,Journal of Contemporary History,United Kingdom,History,1
443037,2288,Journal of Hellenic Studies,United Kingdom,"Classical Studies, History",2
446078,1355,Proceedings of the Prehistoric Society (PPS),United Kingdom,Archaeology,1
342715,9454,Quaternary International,Netherlands,Archaeology,1
446779,1694,Science & Education,Netherlands,Pedagogical & Educational Research,1
343284,1705,Review of International Studies,United Kingdom,Political Sciences and International Relations,1
500257,329,Вісник Національної академії наук України,Ukraine,"Science and Technology Studies, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
445893,1465,Poetics,Netherlands,Literature,1
503175,14,Journal of the Bulgarian Geographical Society,Bulgaria,Human Geography and Urban Studies,1
483782,310,Journal of Tourism Futures,United Kingdom,"Business and Management, Interdisciplinary research in the Social Sciences",2
