,EP_id,Publications_in_venue,OC_omid,issn,Open Access
124,340670,4270,061023558,['0047-2727'],Unknown
19,339906,4262,069031500,"['0033-8222', '1945-5755']",Unknown
982,440005,4261,0623015315,"['0300-4430', '1476-8275']",Unknown
374,342897,4251,067027316,"['1741-282X', '0018-7267']",Unknown
1296,441925,4240,0623024295,"['0020-739X', '1464-5211']",Unknown
1409,442621,4233,0619020420,"['1530-8898', '0898-929X']",Unknown
1788,444849,4226,069043951,"['0026-4423', '1460-2113']",Unknown
1218,441263,4186,0617015417,"['0018-7208', '1547-8181']",Unknown
1322,442090,4177,069027571,"['1041-6102', '1741-203X']",Unknown
2188,447380,4150,065017321,"['1467-9620', '0161-4681']",Unknown
2093,446791,4143,062108395,"['1098-237X', '0036-8326']",Unknown
619,437112,4125,0618016611,"['1930-3807', '0363-7425']",Unknown
1638,443871,4105,0622011352,"['1941-2460', '0003-0651']",Unknown
2709,471783,4090,0612037003,"['1554-3528', '1554-351X']",Unknown
1491,442987,4082,0614012386,"['0022-1309', '1940-0888']",Unknown
1473,442908,4078,0616031698,['0022-1031'],Unknown
1247,441570,4078,06804383,['0019-8501'],Unknown
1306,441991,4064,061507314,"['1745-8315', '0020-7578']",Unknown
768,438358,4053,0618029949,"['1568-539X', '0005-7959']",Unknown
315,342283,4046,062034640,['0024-3841'],Unknown
2224,447561,4033,0612011876,"['0093-0334', '1552-146X']",Unknown
726,438035,4022,0624039389,"['0887-6177', '1873-5843']",Unknown
993,440058,3978,0625032999,"['0013-0117', '1468-0289']",Unknown
132,340707,3970,0614018005,"['0022-2194', '1538-4780']",Unknown
234,341588,3959,0622048642,['0196-206X'],Unknown
1981,446212,3956,06805445,"['1069-9384', '1531-5320']",Unknown
238,341605,3946,068020112,"['0047-2891', '1573-6601']",Unknown
1986,446228,3929,06305610,"['0033-362X', '1537-5331']",Unknown
509,418107,3917,061034121,"['0011-3204', '1537-5382']",Unknown
285,341994,3912,063035104,['0016-3287'],Unknown
189,341185,3911,063017463,"['1098-2302', '0012-1630']",Unknown
859,439116,3911,0626033882,"['1471-6844', '0009-8388']",Unknown
130,340694,3897,064010392,"['0048-7333', '1873-7625']",Unknown
853,439100,3890,067018861,['0264-2751'],Unknown
1245,441561,3889,06804263,"['2162-271X', '0019-7939']",Unknown
589,434819,3888,0616042978,['0013-7006'],Unknown
7632,499287,3888,061205447,['2075-4426'],True
195,341263,3876,06505612,"['0033-5894', '1096-0287']",Unknown
565,429124,3869,0621013608,"['0742-051X', '1879-2480']",Unknown
108,340553,3856,061502803,['0305-0483'],Unknown
92,340461,3856,062011759,"['1460-2229', '0263-2136']",Unknown
63,340223,3851,0618029920,['0005-7916'],Unknown
125,340672,3828,0611021306,"['1520-6300', '1042-0533']",Unknown
1417,442650,3768,061503658425,"['0735-7036', '0021-9940']",Unknown
35,340025,3752,0619023565,"['0007-070X', '1758-4108']",Unknown
1372,442406,3751,063018819,"['0021-8855', '1938-3703']",Unknown
1577,443531,3743,061407973,['0022-362X'],Unknown
1585,443625,3724,0618019582,"['1461-7285', '0269-8811']",Unknown
127,340678,3712,0611022768,"['0735-0414', '1464-3502']",Unknown
1574,443509,3710,061308872,"['1467-6494', '0022-3506']",Unknown
39,340048,3699,068067660,"['0022-4308', '1098-2736']",Unknown
1970,446198,3691,0622032066,"['0882-7974', '1939-1498']",Unknown
81,340375,3656,0613045151,"['1873-7722', '0160-7383']",Unknown
65,340243,3654,0612023249,"['1439-0310', '0179-1613']",Unknown
2119,446990,3635,0615046285,['0301-2212'],Unknown
336,342534,3627,0619022136,"['1468-2346', '0020-5850']",Unknown
126,340676,3625,06707128,"['0958-5192', '1466-4399']",Unknown
2161,447256,3619,062040288,"['2047-0584', '0039-3630']",Unknown
947,439794,3594,06302734,"['0167-9236', '1873-5797']",Unknown
252,341743,3587,0615016859,"['1095-9254', '0140-1971']",Unknown
2237,447612,3577,0614012588,"['1940-0896', '0022-1325']",Unknown
59,340185,3561,0616041638,"['0355-3140', '1795-990X']",True
1091,440547,3519,061902859,"['2163-5560', '0014-4029']",Unknown
2242,447662,3489,0619035313,"['2167-4086', '0033-2828']",Unknown
4468,485158,3482,0626050004,"['2352-409X', '2352-4103']",Unknown
592,435268,3481,06301367,"['0091-0627', '1573-2835']",Unknown
1572,443500,3477,0614020502,"['1465-735X', '0146-8693']",Unknown
1698,444282,3476,061103729950,"['0097-8507', '1535-0665']",Unknown
2231,447584,3473,06301219,"['0197-9183', '1747-7379']",Unknown
454,343614,3450,061013294,"['0034-6527', '1467-937X']",Unknown
488,413785,3448,0613047722,['0304-3878'],Unknown
467,343702,3444,0613036571,"['1573-174X', '0018-1560']",Unknown
181,341141,3431,0624011137,"['1573-6598', '0894-9867']",Unknown
983,440006,3430,065027981,"['1058-0476', '1573-1707', '1573-3475', '1082-3301', '0092-4199', '0161-570X', '0882-3391']",Unknown
766,438351,3429,0617031074,['0005-7894'],Unknown
463,343675,3421,0621010005,"['1477-0911', '0959-6836']",Unknown
1666,444095,3405,061051153,['0001-8791'],Unknown
1415,442645,3383,061058479,"['0090-4392', '1520-6629']",Unknown
1678,444139,3381,062105298,"['0022-0507', '1471-6372']",Unknown
506,417686,3374,0621028223,"['1860-0980', '0033-3123']",Unknown
1753,444481,3372,0625021448,['0024-6301'],Unknown
1517,443144,3360,0613018500,"['1530-9169', '0022-1953']",Unknown
1677,444138,3359,066031370,"['1079-5014', '1758-5368']",Unknown
111,340584,3348,061807402,"['1466-4356', '0141-9870']",Unknown
424,343310,3339,06608490,"['0013-0427', '1468-0335']",Unknown
1829,445116,3335,0616064909,"['1530-888X', '0899-7667']",Unknown
686,437780,3334,066036248,"['0003-4800', '1469-1809']",Unknown
341,342588,3319,0615027197,"['1461-7277', '1359-1053']",Unknown
2131,447037,3318,062015419,"['1467-954X', '0038-0261']",Unknown
1069,440454,3311,0617060860,['0309-0566'],Unknown
1287,441873,3306,0623031944,"['0278-4319', '1873-4693']",Unknown
60,340201,3303,06205349,"['0033-3190', '1423-0348']",Unknown
1617,443742,3298,06402851,"['0022-4537', '1540-4560']",Unknown
671,437666,3287,0619053273,"['1467-8284', '0003-2638']",Unknown
644,437450,3283,063022586,"['1360-7863', '1364-6915']",Unknown
736,438112,3271,0621064730,['0004-3702'],Unknown
1308,442014,3269,0614014078,"['0950-0693', '1464-5289']",Unknown
331,342509,3251,0611063330,"['0143-6597', '1360-2241']",Unknown
233,341581,3246,0614037942,"['1430-2772', '0340-0727', '0033-3026']",Unknown
397,343121,3236,0622032081,"['1939-1536', '0033-3204']",Unknown
335,342528,3231,061805945,"['0022-0388', '1743-9140']",Unknown
288,342049,3227,065029479,['0899-8256'],Unknown
1466,442882,3226,062405665,"['1469-9451', '1369-183X']",Unknown
2276,447883,3212,0622036161,"['1361-9209', '1879-2340']",Unknown
656,437559,3189,0615035704,"['0002-9114', '1939-828X']",Unknown
1028,440248,3187,065020227,"['1477-4534', '0013-8266']",Unknown
1919,445745,3179,06206795,"['0031-8205', '1933-1592']",Unknown
1414,442636,3167,0614011322,"['1460-2466', '0021-9916']",Unknown
112,340591,3166,062409673,"['0143-2095', '1097-0266']",Unknown
499,416429,3146,062015527,"['0038-0385', '1469-8684']",Unknown
1554,443355,3146,065056513,"['1873-1295', '0304-3932']",Unknown
468,343705,3133,0619035423,"['0033-2933', '2163-3452']",Unknown
2238,447629,3132,067065581,"['0026-7902', '1540-4781']",Unknown
1831,445121,3127,0626040065,['1074-7427'],Unknown
265,341840,3125,0621036039,"['1467-9450', '0036-5564']",Unknown
1237,441407,3120,063031353,"['1557-9638', '0018-9359']",Unknown
1148,440955,3116,0612046981,"['0304-324X', '1423-0003']",Unknown
248,341687,3114,06301358,"['1573-2770', '0091-0562']",Unknown
1565,443431,3106,069027566,['1499-4046'],Unknown
843,439029,3104,061603158,"['0305-1862', '1365-2214']",Unknown
190,341197,3101,06701203,"['0021-9118', '1752-0401']",Unknown
294,342121,3099,062058883,"['1573-2797', '0738-0151', '1097-0355', '0041-0608', '0163-9641']",Unknown
878,439241,3099,06401681278,"['0350-6134', '1848-9486']",Unknown
2034,446479,3099,061013436,"['1935-1046', '0034-6543']",Unknown
214,341413,3091,066064127,"['1380-3395', '1744-411X']",Unknown
800,438664,3069,0616053156,"['0045-3102', '1468-263X']",Unknown
83,340384,3069,0621019662,"['0001-8244', '1573-3297']",Unknown
264,341835,3062,064059762,"['2168-3824', '0270-1367']",Unknown
290,342075,3061,0623032181,['1053-8100'],Unknown
2192,447387,3056,062043157,"['1532-8023', '0098-6283']",Unknown
1956,446095,3051,0612016199,"['1939-1323', '0735-7028']",Unknown
219,341461,3049,0622017467,"['2044-8279', '0007-0998']",Unknown
799,438662,3037,069014774,"['2044-8295', '0007-1269']",Unknown
2143,447131,3027,061202489,"['2040-8072', '0038-7134']",Unknown
789,438646,3019,0622017543,"['0007-1013', '1467-8535']",Unknown
515,418707,3012,066064131,"['1464-3553', '0379-864X']",Unknown
551,425901,3011,0621018061,"['0163-6383', '1934-8800']",Unknown
328,342482,2993,0613024607,"['1018-8827', '1435-165X']",Unknown
1971,446200,2991,062404077,"['0007-1129', '2044-8341', '1476-0835']",Unknown
363,342828,2981,061604715,"['0046-2772', '1099-0992']",Unknown
1603,443701,2968,067031597,['0743-0167'],Unknown
683,437751,2963,066036096,['0003-4487'],Unknown
545,425325,2943,069069330,"['1950-6694', '0035-2764']",Unknown
3539,481035,2942,0622047318,"['2168-6157', '2168-6149']",Unknown
7,339791,2937,0614023801,"['1940-0683', '0022-0973']",Unknown
1964,446188,2932,0612016215,"['1939-134X', '1040-3590']",Unknown
313,342261,2909,0624039420,['0887-6185'],Unknown
136,340720,2906,0625039212,"['1747-0218', '1747-0226']",Unknown
343,342603,2904,061038822,"['1530-9282', '0024-094X']",Unknown
1506,443061,2902,067026039,"['0091-8369', '1540-3602']",Unknown
243,341656,2898,0625024425,"['1741-3044', '0170-8406']",Unknown
801,438665,2892,0618010074,"['1468-4446', '0007-1315']",Unknown
558,427651,2891,0624051704,"['0261-5606', '1873-0639']",Unknown
1599,443692,2890,063013403,['0969-6989'],Unknown
685,437779,2888,0615046375,"['1464-5033', '0301-4460']",True
1497,443027,2887,0616014049,"['0022-1465', '2150-6000']",Unknown
1513,443130,2881,0613021319,"['0964-2633', '1365-2788']",Unknown
1190,441181,2863,0614036648,"['0018-246X', '1469-5103']",Unknown
1219,441268,2858,067057456,['0167-9457'],Unknown
82,340381,2854,0621034146,"['0302-282X', '1423-0224']",Unknown
1596,443687,2847,0626077770,['0092-6566'],Unknown
1163,441040,2842,064031694,['0197-3975'],Unknown
1271,441763,2836,0626049971,"['1708-8186', '1499-2027']",Unknown
415,343271,2821,064052554,"['1477-4747', '0032-4728']",Unknown
950,439813,2817,0622036209,"['1520-6394', '1091-4269']",Unknown
340,342578,2805,06201174,"['1355-6177', '1469-7661']",Unknown
430,343385,2795,0611071044,['0955-8810'],Unknown
958,439856,2793,069025496,"['1469-2198', '0954-5794']",Unknown
3448,480174,2792,0611045964,['2227-7102'],True
414,343261,2785,067011434,['0306-9192'],Unknown
133,340714,2782,06402694,"['1559-8519', '0022-4499']",Unknown
1221,441270,2775,068037701,"['0018-7259', '1938-3525']",Unknown
1040,440323,2771,06808240,"['1572-8420', '0165-0106']",Unknown
483,413494,2750,0619020617,"['1099-0720', '0888-4080']",Unknown
1480,442930,2746,0616031801,"['1756-6916', '0022-1090']",Unknown
1047,440357,2744,0626041703,"['0014-1704', '1539-297X']",Unknown
444,343485,2739,0622017424,"['0007-0955', '1464-3529']",Unknown
1003,440094,2737,06708545,"['1469-5812', '0013-1857']",Unknown
216,341440,2735,06205379,"['1467-9299', '0033-3298']",Unknown
2479,468479,2730,068046228,"['1810-3057', '1727-9232']",Unknown
531,422802,2725,0625020043,['0149-7189'],Unknown
1103,440611,2722,06201322,"['0197-6664', '1741-3729']",Unknown
346,342675,2712,061501110,['1059-0560'],Unknown
581,433601,2710,0625027241,"['0032-3217', '1467-9248']",Unknown
296,342134,2708,0618061247,"['0309-1325', '1477-0288']",Unknown
2376,449310,2704,06708591,"['0013-189X', '1935-102X']",Unknown
570,430159,2701,064059747,"['1464-0600', '0269-9931']",Unknown
1284,441851,2701,0621066156,['0169-2070'],Unknown
1911,445735,2696,0618022456,"['0031-8108', '1558-1470']",Unknown
308,342192,2695,061051229,"['1750-0184', '0001-9720']",Unknown
1217,441260,2693,06150690039,"['0018-7143', '1534-6617']",Unknown
221,341517,2687,065030577,"['1540-6245', '0021-8529']",Unknown
704,437889,2687,06905206,"['0268-7038', '1464-5041']",Unknown
205,341341,2685,068035589,"['0094-0496', '1548-1425']",Unknown
1309,442020,2682,067011397,['0306-8293'],Unknown
2185,447356,2681,0626072861,['0346-251X'],Unknown
1299,441956,2680,06609998,"['1552-6933', '0306-624X']",Unknown
1276,441807,2680,0619023550,['0959-6119'],Unknown
2144,447132,2676,06608460,['0167-6393'],Unknown
1896,445666,2674,064035790,"['1744-6570', '0031-5826']",Unknown
44,340099,2667,06802898,"['1552-7816', '0022-4871']",Unknown
53,340152,2664,061108023,"['0965-4313', '1469-5944']",Unknown
1474,442914,2662,061028110,"['1552-5481', '0192-513X']",Unknown
408,343239,2661,069039210,"['0014-7370', '1545-5300']",Unknown
3,339733,2658,0616028523,"['0307-5079', '1470-174X']",Unknown
204,341332,2653,0622026639,"['0022-0027', '1552-8766']",Unknown
1994,446266,2640,06305790,"['1573-7845', '0033-5177']",Unknown
339,342571,2639,061607523,"['1531-5088', '0020-8183']",Unknown
1475,442918,2628,0611018648,"['0893-3200', '1939-1293']",Unknown
851,439047,2627,0625016739,"['0305-7410', '1468-2648']",Unknown
1390,442484,2619,0613045176,"['1573-3521', '0160-7715']",Unknown
51,340134,2615,0617012862,"['1931-1559', '0894-4105']",Unknown
1423,442691,2607,0614059948,"['1537-5277', '0093-5301']",Unknown
1258,441700,2602,0619022209,"['0020-5893', '1471-6895']",Unknown
867,439186,2598,064043508,['0272-7358'],Unknown
174,341082,2598,0622057784,"['0147-5916', '1573-2819']",Unknown
995,440062,2596,069041060,"['1432-0479', '0938-2259']",Unknown
1397,442525,2590,067011271,"['1468-5957', '0306-686X']",Unknown
2208,447467,2586,06209246,"['0095-2990', '1097-9891']",Unknown
2102,446883,2583,0624037945,"['1613-3692', '0037-1998']",Unknown
577,432451,2582,06803049,"['0144-686X', '1469-1779']",Unknown
1305,441986,2581,0613029054,['0263-7863'],Unknown
1285,441861,2575,0615040813,"['1943-2836', '0020-7284']",Unknown
428,343375,2568,0614011280,"['1468-5965', '0021-9886']",Unknown
1300,441958,2565,0618061358,['0144-3577'],Unknown
1000,440090,2563,068027372,"['0360-1277', '1521-0472']",Unknown
99,340495,2562,061507325,"['0020-7594', '1464-066X']",Unknown
1942,445920,2561,0625027059,"['0032-3179', '1467-923X']",Unknown
1298,441945,2554,0615022187,"['1461-1457', '1469-5111']",True
245,341667,2552,065023860,"['1879-310X', '0967-070X']",Unknown
1861,445389,2547,061606250,"['1360-2357', '1573-7608']",Unknown
422,343300,2536,0624051639,['0261-3794'],Unknown
235,341593,2521,061028076,"['1461-4448', '1461-7315']",Unknown
2316,448170,2520,065014703,['0277-5395'],Unknown
634,437285,2516,0626057199,"['0001-8392', '1930-3815']",Unknown
2277,447885,2505,061025108,"['1873-5517', '1369-8478']",Unknown
7523,498971,2503,066042093,"['1729-3774', '1729-4061']",True
1637,443867,2503,068043618,"['2169-2289', '0003-0279']",Unknown
1316,442058,2498,0618061215,"['0309-1317', '1468-2427']",Unknown
1645,443927,2496,0614022130,['0022-5037'],Unknown
399,343172,2495,064064615,"['1467-6486', '0022-2380']",Unknown
2115,446970,2495,067031353,"['2325-7784', '0037-6779']",Unknown
912,439542,2493,061029384,"['0011-0000', '1552-3861']",Unknown
347,342676,2490,061054047,"['0022-0221', '1552-5422']",Unknown
0,339705,2488,0612017785,"['1574-0862', '0169-5150']",Unknown
24,339943,2480,061202435,"['0887-0446', '1476-8321']",Unknown
718,437992,2480,0611029399,"['1475-4754', '0003-813X']",Unknown
2035,446484,2479,0614020520,"['0893-9454', '1465-7368']",Unknown
427,343368,2470,0619068635,"['1099-1077', '0885-6222']",Unknown
106,340540,2464,066062598,"['0049-089X', '1096-0317']",Unknown
37,340042,2463,068016686,"['0921-898X', '1573-0913']",Unknown
786,438637,2452,0619023617,"['0007-0882', '1464-3537']",Unknown
1914,445739,2452,0619026323,"['0031-8191', '1469-817X']",Unknown
1947,445983,2449,062013124,"['0937-2032', '1439-1058']",Unknown
1432,442721,2445,0616038925,['0047-2352'],Unknown
476,412068,2433,0617014192,"['0144-929X', '1362-3001']",Unknown
1614,443737,2433,0613026371,"['0265-4075', '1460-3608']",Unknown
342,342589,2431,069021533,"['0304-4130', '1475-6765']",Unknown
2202,447433,2431,0622023922,"['0039-8322', '1545-7249']",Unknown
475,411958,2421,0619030979,"['0047-2875', '1552-6763']",Unknown
2155,447227,2420,062040195,"['1572-8730', '0039-3215']",Unknown
184,341157,2418,0617035471,"['0047-2506', '1478-6990']",Unknown
16,339888,2412,0624034532,"['1474-0699', '0041-977X']",Unknown
946,439793,2408,069053561,"['1540-5915', '0011-7315']",Unknown
